         ps       /mp1_tb/mem_address   /mp1_tb/mem_write              
          delta                     /mp1_tb/mem_byte_enable            
                                               /mp1_tb/mem_wdata       
          0  +0                  xxxx                   x x xxxx 
          0  +1                  0000                   0 3 0000 
      15000  +3                  0000                   0 3 xxxx 
     235000  +3                  0000                   0 3 e06a 
     275000  +3                  0002                   0 3 e06a 
     505000  +3                  0002                   0 3 6200 
     535000  +3                  00d6                   0 3 6200 
     765000  +3                  00d6                   0 3 0000 
     785000  +3                  0004                   0 3 0000 
    1015000  +3                  0004                   0 3 6401 
    1045000  +3                  00d8                   0 3 6401 
    1275000  +3                  00d8                   0 3 0070 
    1295000  +3                  0006                   0 3 0070 
    1525000  +3                  0006                   0 3 6e02 
    1555000  +3                  00da                   0 3 6e02 
    1785000  +3                  00da                   0 3 000a 
    1805000  +3                  0008                   0 3 000a 
    2035000  +3                  0008                   0 3 1287 
    2075000  +3                  000a                   0 3 1287 
    2305000  +3                  000a                   0 3 167c 
    2345000  +3                  000c                   0 3 167c 
    2575000  +3                  000c                   0 3 1243 
    2615000  +3                  000e                   0 3 1243 
    2845000  +3                  000e                   0 3 1241 
    2885000  +3                  0010                   0 3 1241 
    3115000  +3                  0010                   0 3 720f 
    3145000  +3                  00f4                   0 3 720f 
    3155000  +3                  00f4                   0 3 01e0 
    3155000  +5                  00f4                   1 3 01e0 
    3385000  +4                  00f4                   0 3 01e0 
    3395000  +3                  0012                   0 3 01e0 
    3625000  +3                  0012                   0 3 6203 
    3655000  +3                  00dc                   0 3 6203 
    3885000  +3                  00dc                   0 3 270f 
    3905000  +3                  0014                   0 3 270f 
    4135000  +3                  0014                   0 3 6404 
    4165000  +3                  00de                   0 3 6404 
    4395000  +3                  00de                   0 3 002a 
    4415000  +3                  0016                   0 3 002a 
    4645000  +3                  0016                   0 3 5c42 
    4685000  +3                  0018                   0 3 5c42 
    4915000  +3                  0018                   0 3 5baa 
    4955000  +3                  001a                   0 3 5baa 
    5185000  +3                  001a                   0 3 7a10 
    5215000  +3                  00f6                   0 3 7a10 
    5225000  +3                  00f6                   0 3 000a 
    5225000  +5                  00f6                   1 3 000a 
    5455000  +4                  00f6                   0 3 000a 
    5465000  +3                  001c                   0 3 000a 
    5695000  +3                  001c                   0 3 6e05 
    5725000  +3                  00e0                   0 3 6e05 
    5955000  +3                  00e0                   0 3 bac8 
    5975000  +3                  001e                   0 3 bac8 
